"d","Country","Deposit_Name","Resource_Type","Latitude","Longitude","Status","Status_Delay","Grade_percLi_Reserve","grade_resource","grade_resource_inferred","open_mine","reserve","resource_demostrated","resource_inferred","all_resource","cost1","cost2","cost3","max_prod_rate","max_ramp_up","cost_expansion","cost_opening","cost_source","prod_rate2022","prod_rate2023","prod_rate2025","prod_rate2030","delay_years","Resource_Type_orig","edb","wgi","Corporate_Tax_Rate","cost1_noTax","cost2_noTax","cost3_noTax","label_name"
51,"Canada","Beaverhill","Brine",54.363,-116.562,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,45290.623800717,47381.7565711196,49509.2809425689,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",20.4,1.73,0.265,23236.3589125401,26081.4375117274,28976.0284932911,""
52,"United States","Smackover LANXESS","Brine",33.178,-92.72,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,44499.6400090404,46620.714554272,49023.2380336957,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",16,2.54,0.25,23639.2594564983,26467.3588501404,29670.723489372,"Smackover LANXESS"
53,"Chile","Salar de Maricunga","Brine",-26.92,-69.07,"Evaluation","Evaluation",0.0976,0.0951515363128492,NA,FALSE,90,452,0,542,51706.5246443872,51732.5298491485,55707.4416537138,5.42,1.355,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",27.4,2.38,0.27,22223.884068288,22263.892075613,28379.1410057135,""
54,"United States","Kings Mountain/Bessemer City","Hard Rock",35.22,-81.35,"No info","No Info",NA,0.636398929049532,0.510977242302544,FALSE,0,269.869878885282,0,269.869878885282,51852.8579556094,58878.4936783977,62516.0941368855,13.4934939442641,3.37337348606602,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",16,2.54,0.25,33650.4772741459,43017.9915711969,47868.1255158474,""
55,"France","Beauvoir","Hard Rock",46.18,2.95,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,52067.9458658565,55950.758627084,62604.1650225743,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",23.2,2.17,0.25,33748.191871142,38925.2755527787,47796.484080099,""
56,"Canada","La Corne(sayona)","Hard Rock",48.41,-77.81,"Producing","Open",0.445943775100402,NA,NA,TRUE,130.206291834003,230.636546184739,0,360.842838018742,48135.170395,52101.4684428146,58433.4971982645,18.0421419009371,4.51053547523427,19102.9684159287,0,"Report",0.336773023617288,2.20197746211303,5.63591959421379,5.63591959421379,3,"Hard Rock",20.4,1.73,0.265,27106.4903333333,32502.814207911,41117.8193173666,""
57,"Germany","Zinnwald","Hard Rock",50.7363888888889,13.7652777777778,"Evaluation","Evaluation",NA,0.225759036144578,0.214145917001339,FALSE,0,429,0,429,66994.5722593575,75419.6532114263,75734.0137448759,21.45,5.3625,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",20.3,1.89,0.3,34872.2460847964,46908.0760163233,47357.1624926799,"Zinnwald"
58,"Australia","Mt. Marion","Hard Rock",-31.08,121.43,"Producing","Open",NA,0.622463186077644,0.641044176706827,TRUE,0,141.250253911822,0,141.250253911822,63102.6660062887,67711.7798578406,72918.0604600205,22.5436783768552,5.63591959421379,19102.9684159287,0,"Quantile",13.2368381027199,15.239197815715,22.5436783768552,22.5436783768552,3,"Hard Rock",18.8,1.57,0.3,36916.6657232696,43501.1140826295,50938.6578000293,""
59,"United States","Great Salt Lake","Brine",40.79,-112.68,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,46888.4110681777,48728.5338294207,51154.7407868161,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",16,2.54,0.25,23340.6014242369,25794.0984392276,29029.0410490881,""
60,"Canada","Clearwater","Brine",51.796,-113.88,"Evaluation","Evaluation",NA,NA,0.00746,FALSE,0,0,0,0,45209.6929785146,48044.5533215618,49353.6320648423,0,0,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Other (Oilfield)",20.4,1.73,0.265,23126.24895036,26983.2017980432,28764.2613127106,""
61,"Canada","PAK/Spark","Hard Rock",52.59,-93.38,"Evaluation","Evaluation",0.720013386880857,0.725756518578946,0.622463186077644,FALSE,159.122958500669,36.6040870147256,0,195.727045515395,49240.1834354144,56160.8115530321,59096.7079338149,9.78635227576975,2.44658806894244,19102.9684159287,126053693.925837,"Regression",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,28609.9094359379,38025.7300041253,42020.1468487278,""
62,"Canada","Barraute","Hard Rock",48.44,-77.64,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,52864.1044769683,59827.8863172602,63197.4457868134,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",20.4,1.73,0.265,33540.4142543787,43014.947370422,47599.3820228754,""
63,"Zimbabwe","Arcadia","Hard Rock",-17.78,31.41,"Producing","Open",0.552784471218206,0.499568393007426,0.459879518072289,TRUE,234.120481927711,68.4622486271993,0,302.58273055491,52435.32374085,53978.7476535659,55129.8425989891,15.1291365277455,3.78228413193638,19102.9684159287,0,"Report",0.361275582443043,1.1925601750547,4.09543490512869,4.09543490512869,3,"Hard Rock",45.5,3.38,0.25,27329.7649878,29387.6635380878,30922.4567986522,"Arcadia"
64,"Chile","Salar de Surire","Brine",-18.91,-69.09,"No info","No Info",NA,NA,0.0253,FALSE,0,0,0,0,52739.574636212,53994.9995685351,56509.8249689806,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23813.1917480185,25744.6147208233,29613.5768753547,""
65,"Chile","Laguna Verde","Brine",-26.88,-68.47,"Evaluation","Evaluation",NA,0.0196272727272727,0.0208,FALSE,0,206.659447753113,0,206.659447753113,52677.1492470731,53601.0797940636,56385.8871505126,6.1997834325934,1.54994585814835,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,8,"Brine",27.4,2.38,0.27,23717.1526878047,25138.5842985593,29422.9033084809,""
66,"China","Zhabuye","Brine",30.9,84.15,"Producing","Open",NA,NA,NA,TRUE,0,0,0,0,45964.1294848206,47103.4011876636,50275.6280894527,2.02684002986948,0.50671000746737,56955.8377136237,0,"Report",1.38807832348637,2.02684002986948,2.02684002986948,2.02684002986948,3,"Brine",22.1,2.94,0.25,18701.5059797608,20220.5349168848,24450.170785937,""
67,"China","Dahongliu","Hard Rock",35.48,79.17,"Producing","Open",NA,NA,NA,TRUE,0,0,0,0,56924.8172933396,63119.6604979216,67430.6678697727,0,0,19102.9684159287,0,"Quantile",0,0,0,0,3,"Hard Rock",22.1,2.94,0.25,33315.7563911195,41575.5473305621,47323.5571596969,""
68,"Spain","San Jose/Valdeflores","Hard Rock",39.45209,-6.347678,"Evaluation","Evaluation",0.38091030789826,0.292650602409639,0.274069611780455,FALSE,141.698634538153,29.4200751392667,0,171.118709677419,54150.9429970221,56710.7359122543,57249.6396838821,8.55593548387097,2.13898387096774,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",22.1,2.23,0.25,36714.5906626962,40127.6478830057,40846.1862451762,""
69,"Argentina","Hombre Muerto North (Lithium South)","Brine",-25.32,-66.9,"Construction","Construction",NA,0.0743416274377942,0,TRUE,0,297.4,0,297.4,50392.2092916283,51975.0310655356,52764.6156748355,2.974,0.7435,56955.8377136237,0,"Report",0,0,0,0,5,"Brine",41,2.51,0.35,15288.3219871205,17723.4324085163,18938.1779612854,""
70,"United States","Green River","Brine",38.84,-110.23,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,46852.5875393735,48721.143065379,51136.0955017266,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",16,2.54,0.25,23292.8367191647,25784.244087172,29004.1806689688,""
71,"United States","Silver Peak","Brine",37.762686,-117.622147,"Producing","Open",NA,NA,NA,TRUE,0,0,0,0,46546.965807403,48675.2858738698,51165.2085312906,3.75727972947586,0.939319932368965,56955.8377136237,0,"Quantile",0,0,1.87863986473793,3.75727972947586,3,"Brine",16,2.54,0.25,23793.7997432039,26631.5598318265,29951.4567083874,""
72,"Russia","Kolmorzerskoe","Hard Rock",67.959,37.118,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,57967.0611854892,65697.0938691623,68482.3386542558,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,33285.9482473189,43592.6584922164,47306.3182056743,""
73,"United States","Paradox","Brine",38.57,-109.72,"No info","No Info",NA,0.0123,0.0109,FALSE,0,68.9032932995411,0,68.9032932995411,44403.9847769865,47370.8327208939,47387.9897683566,2.06709879898623,0.516774699746559,56955.8377136237,199701729.182192,"Report",0,0,0,0,10,"Brine",16,2.54,0.25,20028.0330359819,23983.8302945252,24006.7063578088,""
74,"Chile","Salar de Aguilar","Brine",-25.81,-68.9,"No info","No Info",NA,NA,0.0284,FALSE,0,0,0,0,52414.6780277585,55118.4048384927,56390.7465475749,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23313.3508119361,27472.930520758,29430.3793039614,""
75,"Zimbabwe","Kamativi","Hard Rock",-18.33,27.07,"Evaluation","Evaluation",NA,NA,NA,FALSE,0,0,0,0,57701.0204608333,66912.3951116165,68215.977062367,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",45.5,3.38,0.25,34350.6939477778,46632.5268154886,48370.636083156,""
76,"Namibia","Uis","Hard Rock",-21.22,14.88,"No info","No Info",NA,0.336592595873691,0.339103078982597,FALSE,0,126.350736278447,0,126.350736278447,59262.384428419,64520.5710206015,68820.6788245626,6.31753681392236,1.57938420348059,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",38.6,1.94,0.32,33920.5653359103,41653.1926773551,47976.8806243568,""
77,"Canada","James Bay","Hard Rock",52.29,-77.1,"Evaluation","Evaluation",0.603882195448461,0.650334672021419,0,FALSE,224.6906291834,37.3942436412316,0,262.084872824632,47631.8007850232,53454.3122816,71938.7116484344,13.1042436412316,3.2760609103079,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,26421.63372112,34343.418070204,59492.2607461692,""
78,"Canada","Whabouchi","Hard Rock",51.69,-75.84,"Evaluation","Evaluation",0.603882195448461,NA,NA,FALSE,221.020883534137,0,0,221.020883534137,52540.9690366348,60775.2267000582,62874.4656255537,11.0510441767068,2.76276104417671,19102.9684159287,126053693.925837,"Regression",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,33100.7741995032,44303.8458504193,47159.9532320458,""
79,"China","Yichun 414","Hard Rock",27.59,114.39,"Producing","Open",NA,NA,NA,TRUE,0,0,0,0,58998.3025503968,65281.5223963289,69559.9488499393,3.96733667446652,0.99183416861663,19102.9684159287,0,"Quantile",2.71702451039222,3.96733667446652,3.96733667446652,3.96733667446652,3,"Hard Rock",22.1,2.94,0.25,36080.4034005291,44458.0298617719,50162.5984665857,""
80,"United States","Rhyolite Ridge","Volcano-Sedimentary",37.831711,-117.895265,"Evaluation","Evaluation",0.1797,0.159573885848319,0.16,FALSE,108.1794,95.2111020352781,0,203.390502035278,39528.85765594,47139.2384814844,51810.0988523282,6.10171506105834,1.52542876526459,82730.3782542635,2.5e+08,"Report",0,0,0,0,8,"Volcano-Sedimentary",16,2.54,0.25,14436.32220792,24583.4966419792,30811.310469771,""
81,"Ethiopia","Kenticha","Hard Rock",5.45,39.02,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,61669.0417311569,66895.4764528216,71516.3191676327,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",52,4.54,0.3,34868.6310445099,42334.9663611737,48936.1702394752,""
82,"United States","Smackover SWA","Brine",33.243,-93.455,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,44565.9451713035,46176.153999681,49163.8022941783,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",16,2.54,0.25,23727.6663395157,25874.6114440191,29858.1425033488,""
83,"China","Huaqiao Dagang","Hard Rock",28.36,114.55,"Producing","Open",0.236907630522088,NA,NA,TRUE,113.111785100402,104.652287429719,0,217.76407253012,67406.930139277,73709.5180287797,77913.8207620774,10.888203626506,2.72205090662651,19102.9684159287,0,"Regression",0,0,0,0,3,"Hard Rock",22.1,2.94,0.25,47291.9068523693,55695.3573717062,61301.0943494365,""
84,"United States","Plumbago North","Hard Rock",44.54472,-70.74361,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,54756.1130867057,59529.0076733657,65265.7906861703,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",16,2.54,0.25,34398.657448941,40762.5168978209,48411.5609148938,""
85,"Ghana","Ewoyaa","Hard Rock",5.23,-1.03,"Evaluation","Evaluation",0.566720214190094,0.587623828647925,0.518409638554217,FALSE,145.080374832664,17.0440172743705,0,162.124392107035,50442.8928702852,54387.4494486293,56394.8659979429,8.10621960535173,2.02655490133793,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",40,2.57,0.25,24673.1904937136,29932.599264839,32609.1546639239,""
86,"China","Jiajika","Hard Rock",30.33,101.316,"Producing","Open",NA,NA,NA,TRUE,0,0,0,0,58245.2642944117,62913.432787162,68767.4486771292,2.47193410042882,0.617983525107205,19102.9684159287,0,"Quantile",1.69290032332398,2.47193410042882,2.47193410042882,2.47193410042882,3,"Hard Rock",22.1,2.94,0.25,35076.3523925489,41300.5770495493,49105.9315695057,""
87,"Austria","Wolfsberg/Koralpe","Hard Rock",46.84,14.99,"Evaluation","Evaluation",NA,0.529558232931727,0.362329317269076,FALSE,0,36.2370608359363,0,36.2370608359363,52005.0165976925,58224.9940850296,63139.7964822754,1.81185304179682,0.452963260449204,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",21.3,1.86,0.24,33407.9165759113,41592.0974803021,48058.942739836,""
88,"Brazil","Grota do Cirilo (Barreiro)","Hard Rock",-16.74,-41.9,"Evaluation","Evaluation",0.631753681392236,0.642828268208516,0.645689424364123,FALSE,137.127937195452,23.9537087168382,0,161.08164591229,57026.108096,61651.9438310627,66290.9102961539,8.05408229561451,2.01352057390363,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",40.9,2.83,0.34,27930.8456,34939.6876228223,41968.4246911422,""
89,"Brazil","Grota do Cirilo (NDC)","Hard Rock",-16.74,-41.9,"No info","No Info",NA,0.690987364471499,0.687496653279786,FALSE,0,161.006497022198,0,161.006497022198,60906.8262342569,65813.024636876,65902.1166863091,8.05032485110991,2.01258121277748,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",40.9,2.83,0.34,33810.7215670559,41244.3555104181,41379.3434641047,""
90,"Canada","Rocky","Brine",52.153,-114.74,"No info","No Info",NA,NA,0.00529,FALSE,0,0,0,0,45381.2653466191,47447.7113076927,49518.5744464173,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Other (Oilfield)",20.4,1.73,0.265,23359.6807436995,26171.171847201,28988.672716214,""
91,"Chile","Francisco Basin","Brine",-27.49,-69.2,"Evaluation","Evaluation",NA,0.0221,0.0195,FALSE,0,82.6637791012453,0,82.6637791012453,52327.6683518267,55280.838509847,55308.4531862394,2.47991337303736,0.61997834325934,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,8,"Brine",27.4,2.38,0.27,23179.489772041,27722.8284766877,27765.3125942145,""
92,"Argentina","Candelas","Brine",-25.53,-66.88,"Evaluation","Evaluation",NA,0.0672,0,FALSE,0,167,0,167,55948.52183905,57807.0841304728,58520.8173049228,1.67,0.4175,56955.8377136237,199701729.182192,"Report",0,0,0,0,8,"Brine",41,2.51,0.35,23836.495137,26695.8217391889,27793.8727768043,""
93,"Zimbabwe","Bikita","Hard Rock",-20.09,31.6,"Producing","Open",NA,NA,NA,TRUE,0,0,0,0,57485.4242936011,62898.4059047309,67997.118524317,6.38737554010896,1.59684388502724,19102.9684159287,0,"Quantile",0.563457330415755,1.85995623632385,6.38737554010896,6.38737554010896,3,"Hard Rock",45.5,3.38,0.25,34063.2323914681,41280.5412063079,48078.8246990894,""
94,"Mali","Bougouni","Hard Rock",11.1,-7.43,"Construction","Construction",NA,0.520267737617135,0.473815261044177,TRUE,0,59.9236947791165,0,59.9236947791165,54782.7689628328,61835.0783905823,63148.9257858109,2.99618473895582,0.749046184738956,19102.9684159287,0,"Report",0,0,0,0,5,"Hard Rock",47.1,4.98,0.2686,31438.0817101898,41080.2876546107,42876.6335600368,""
95,"Brazil","Grota de Cirilo ( Xuxa)","Hard Rock",-16.74,-41.9,"Producing","Open",0.720013386880857,0.720059358742512,0.733949129852744,TRUE,84.8243096913914,40.4676773145642,0,125.291987005956,56505.689032,63173.226283149,65749.4846061329,19.777569040015,4.94439226000376,19102.9684159287,0,"Report",2.08508531772353,3.88475971743168,17.9633665226376,19.777569040015,3,"Hard Rock",40.9,2.83,0.34,27142.3318666667,37244.6610350743,41148.082736565,"Grota de Cirilo ( Xuxa)"
96,"Australia","Manna","Hard Rock",-30.87,122.53,"No info","No Info",NA,0.478460508701473,0.450589022757697,FALSE,0,87.8023597419983,0,87.8023597419983,60931.4700438648,68176.7959501617,68931.2612304406,4.39011798709991,1.09752949677498,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",18.8,1.57,0.3,33814.9572055211,44165.4227859452,45243.2303292009,""
97,"Namibia","Karibib","Hard Rock",-22.1,15.97,"Evaluation","Evaluation",NA,NA,NA,FALSE,0,0,0,0,61317.4039796801,70280.5388967145,70871.1619329219,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,8,"Hard Rock",38.6,1.94,0.32,36942.6529112943,50123.733671639,50992.2969601792,""
98,"Chile","Salar de Pajonales","Brine",-25.13,-68.8,"No info","No Info",NA,NA,0.0127,FALSE,0,0,0,0,52432.2495588602,53536.6614110339,56107.2418385223,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,23340.383936708,25039.4790938983,28994.2182131112,""
99,"United States","Carolina Lithium","Hard Rock",35.368879,-81.314732,"Evaluation","Evaluation",NA,0.538848728246319,0.49239625167336,FALSE,0,71.5118394725857,0,71.5118394725857,41998.73615,50473.7205627696,51820.9799918392,3.57559197362928,0.893897993407321,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",16,2.54,0.25,20511.6482,31811.6274170262,33607.9733224523,"Carolina Lithium"
100,"Chile","Salar de Huasco","Brine",-20.3,-68.85,"No info","No Info",NA,NA,0.0075,FALSE,0,0,0,0,53109.0398023677,55923.1422501646,56731.9100345474,0,0,56955.8377136237,199701729.182192,"Quantile",0,0,0,0,10,"Brine",27.4,2.38,0.27,24381.5996959502,28710.9880771763,29955.2462069959,""
101,"Canada","Rose","Hard Rock",52.02,-76.16,"Evaluation","Evaluation",0.404136546184739,0.432008032128514,0.362329317269076,FALSE,90.0248995983936,42.0011537426471,0,132.026053341041,53456.562849,58133.3038947314,60113.7752554636,6.60130266705204,1.65032566676301,19102.9684159287,126053693.925837,"Report",0,0,0,0,8,"Hard Rock",20.4,1.73,0.265,34346.4800666667,40709.3930540563,43403.9119121954,""
102,"Russia","Zavantinskoe","Hard Rock",51.619,115.61,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,59928.7138447936,64651.0465628831,70481.0301401547,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,35901.4851263915,42197.9287505108,49971.240186873,""
103,"Russia","Ulug-Tanzek","Hard Rock",50.65,96.32,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,58096.7349720043,64083.5105271492,68607.0731159317,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,33458.846629339,41441.2140361989,47472.6308212423,""
104,"Russia","Urikskoe","Hard Rock",52.57,101.32,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,58168.4486534757,64413.1551324355,68684.9278888057,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,33554.464871301,41880.7401765806,47576.4371850742,""
105,"Russia","Goltsovoe/Goltsovoya","Hard Rock",52.979,101.18,"No info","No Info",NA,NA,NA,FALSE,0,0,0,0,60115.7641753435,66295.0905236915,70655.7591149566,0,0,19102.9684159287,126053693.925837,"Quantile",0,0,0,0,10,"Hard Rock",21.8,3.42,0.25,36150.8855671246,44389.987364922,50204.2121532755,""
